corp,stock_code,period,revenue,operating_income,net_income,total_assets,total_liabilities,equity,debt_ratio,operating_margin,net_margin,unit,source_file
삼성전자,005930,2025,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,29.9371,13.0696,13.551,KRW,opendart_fnlttSinglAcntAll_2025_11011
현대자동차,005380,2025,186254472000000.0,11467851000000.0,,368844849000000.0,241196612000000.0,127648237000000.0,188.9541,6.1571,,KRW,opendart_fnlttSinglAcntAll_2025_11011
카카오,035720,2025,8099147815086.0,732036535379.0,,27783524545811.0,12558602529761.0,15224922016050.0,82.4871,9.0384,,KRW,opendart_fnlttSinglAcntAll_2025_11011
케이아이엔엑스,093320,2025,,,,337890187127.0,89889812514.0,248000374613.0,36.2458,,,KRW,opendart_fnlttSinglAcntAll_2025_11011
씨앤씨인터내셔널,352480,2025,288477800460.0,22170749656.0,14286675994.0,437835367957.0,83410729235.0,354424638722.0,23.5341,7.6854,4.9524,KRW,opendart_fnlttSinglAcntAll_2025_11011
제이브이엠,054950,2025,,33276260919.0,28350804537.0,319127680911.0,85180325791.0,233947355120.0,36.41,,,KRW,opendart_fnlttSinglAcntAll_2025_11011
덕산네오룩스,213420,2025,344309797191.0,60742428308.0,53957306202.0,714152331754.0,243692718793.0,470459612961.0,51.7989,17.6418,15.6712,KRW,opendart_fnlttSinglAcntAll_2025_11011
인텔리안테크,189300,2025,319628351040.0,,,,,,,,,KRW,opendart_fnlttSinglAcntAll_2025_11011
